team1,team2,score1,score2,odds1,odds2,datetime,notes
Kansas City Royals,San Francisco Giants,2,3,-141,+125,30 Oct 2014 00:00,Play Offs
Kansas City Royals,San Francisco Giants,10,0,-141,+125,29 Oct 2014 00:00,Play Offs
San Francisco Giants,Kansas City Royals,5,0,-164,+146,27 Oct 2014 00:00,Play Offs
San Francisco Giants,Kansas City Royals,11,4,-106,-108,27 Oct 2014 01:00,Play Offs
San Francisco Giants,Kansas City Royals,2,3,-125,+112,25 Oct 2014 00:00,Play Offs
Kansas City Royals,San Francisco Giants,7,2,-143,+129,23 Oct 2014 00:00,Play Offs
Kansas City Royals,San Francisco Giants,1,7,-103,-108,22 Oct 2014 00:00,Play Offs
San Francisco Giants,St.Louis Cardinals,6,3,-154,+139,17 Oct 2014 00:00,Play Offs
San Francisco Giants,St.Louis Cardinals,6,4,-112,+100,16 Oct 2014 00:00,Play Offs
Kansas City Royals,Baltimore Orioles,2,1,-118,+106,15 Oct 2014 20:00,Play Offs
Kansas City Royals,Baltimore Orioles,2,1,-102,-111,15 Oct 2014 00:00,Play Offs
San Francisco Giants,St.Louis Cardinals,5,4,-123,+110,14 Oct 2014 20:00,Play Offs
St.Louis Cardinals,San Francisco Giants,5,4,-133,+121,13 Oct 2014 00:00,Play Offs
St.Louis Cardinals,San Francisco Giants,0,3,-119,+106,12 Oct 2014 00:00,Play Offs
Baltimore Orioles,Kansas City Royals,4,6,-120,+108,11 Oct 2014 20:00,Play Offs
Baltimore Orioles,Kansas City Royals,6,8,-120,+108,11 Oct 2014 00:00,Play Offs
San Francisco Giants,Washington Nationals,3,2,+131,-145,08 Oct 2014 01:00,Play Offs
St.Louis Cardinals,Los Angeles Dodgers,3,2,+150,-167,07 Oct 2014 21:00,Play Offs
St.Louis Cardinals,Los Angeles Dodgers,3,1,-109,-102,07 Oct 2014 01:00,Play Offs
San Francisco Giants,Washington Nationals,1,4,-130,+117,06 Oct 2014 21:00,Play Offs
Kansas City Royals,Los Angeles Angels,8,3,-122,+110,05 Oct 2014 23:30,Play Offs
Detroit Tigers,Baltimore Orioles,1,2,-167,+150,05 Oct 2014 19:30,Play Offs
Los Angeles Dodgers,St.Louis Cardinals,3,2,-172,+154,05 Oct 2014 01:30,Play Offs
Washington Nationals,San Francisco Giants,1,2,-204,+181,04 Oct 2014 21:30,Play Offs
Los Angeles Angels,Kansas City Royals,1,4,-169,+154,04 Oct 2014 01:30,Play Offs
Los Angeles Dodgers,St.Louis Cardinals,9,10,-185,+165,03 Oct 2014 22:30,Play Offs
Washington Nationals,San Francisco Giants,2,3,-185,+169,03 Oct 2014 19:00,Play Offs
Baltimore Orioles,Detroit Tigers,7,6,-119,+106,03 Oct 2014 16:00,Play Offs
Los Angeles Angels,Kansas City Royals,2,3,-189,+171,03 Oct 2014 01:00,Play Offs
Baltimore Orioles,Detroit Tigers,12,3,+106,-119,02 Oct 2014 21:30,Play Offs
Pittsburgh Pirates,San Francisco Giants,0,8,-102,-110,02 Oct 2014 00:00,Wild Card
Kansas City Royals,Oakland Athletics,9,8,+100,-115,01 Oct 2014 00:00,Wild Card
